s_DD_0_0,s_DD_0_1,s_DD_1_0,s_DD_1_1,s_Dz_0_0_0,s_Dz_0_0_1,s_Dz_0_1_0,s_Dz_0_1_1,s_Dz_1_0_0,s_Dz_1_0_1,s_Dz_1_1_0,s_Dz_1_1_1,s_H_0_0,s_H_0_1,s_H_1_0,s_H_1_1,I,s_pi2_0_0_0_0,s_pi2_0_0_0_1,s_pi2_0_0_1_0,s_pi2_0_0_1_1,s_pi2_0_1_0_0,s_pi2_0_1_0_1,s_pi2_0_1_1_0,s_pi2_0_1_1_1,s_pi2_1_0_0_0,s_pi2_1_0_0_1,s_pi2_1_0_1_0,s_pi2_1_0_1_1,s_pi2_1_1_0_0,s_pi2_1_1_0_1,s_pi2_1_1_1_0,s_pi2_1_1_1_1,N_0,N_1,m_01,m_10,num_epochs,r,mu,has_imag
1.323473e-07,1.202958e-08,1.202918e-08,1.323471e-07,1.835027e-07,-1.071692e-07,-1.071694e-07,3.641616e-07,3.641589e-07,-1.071694e-07,-1.071695e-07,1.835022e-07,0.00039998,0.00139998,0.00139998,0.00039998,1,2.375436e-07,5.665127e-07,5.665138e-07,1.610653e-07,5.66513e-07,1.96647e-06,1.966473e-06,5.665134e-07,5.665147e-07,1.966472e-06,1.966479e-06,5.665133e-07,1.610655e-07,5.665137e-07,5.665137e-07,2.375434e-07,10000,10000,1e-05,1e-05,2,0,1e-08,FALSE
1.048983e-08,9.792374e-10,9.791242e-10,9.929703e-08,1.993124e-08,-1.295499e-08,-1.295499e-08,3.046744e-08,4.35284e-07,-1.010572e-07,-1.010571e-07,1.282738e-07,4.322006e-05,0.001205385,0.001205385,0.0003675502,1,1.166828e-08,5.223277e-08,5.223268e-08,1.595907e-08,5.223273e-08,1.455089e-06,1.455094e-06,4.47216e-07,5.223293e-08,1.455087e-06,1.455089e-06,4.472175e-07,1.595902e-08,4.472173e-07,4.472169e-07,1.892402e-07,1000,10000,1e-05,1e-05,2,0,1e-08,TRUE
2.724196e-07,1.057987e-09,1.058218e-09,2.222003e-08,4.142993e-07,-3.708255e-07,-3.708259e-07,1.462802e-06,3.623307e-09,5.732718e-10,5.732355e-10,1.777602e-08,0.0005333056,0.0022,0.0022,2e-04,1,4.570886e-07,1.173395e-06,1.173395e-06,1.067274e-07,1.173396e-06,4.840752e-06,4.840756e-06,4.408025e-07,1.173396e-06,4.84075e-06,4.840767e-06,4.408046e-07,1.067276e-07,4.408038e-07,4.408034e-07,4.888401e-08,10000,10000,0,1e-05,2,0,1e-08,FALSE
3.167898e-08,1.999851e-10,1.999367e-10,2.221988e-08,6.13748e-08,-5.592156e-08,-5.592157e-08,1.588329e-07,6.768349e-09,5.73169e-10,5.733299e-10,1.777589e-08,6.270319e-05,0.0022,0.0022,2e-04,1,3.41046e-08,1.379626e-07,1.379623e-07,1.255354e-08,1.379622e-07,4.840757e-06,4.840756e-06,4.408052e-07,1.379623e-07,4.840757e-06,4.840782e-06,4.408041e-07,1.255345e-08,4.408023e-07,4.408043e-07,4.888389e-08,1000,10000,0,1e-05,2,0,1e-08,FALSE
1.323473e-07,1.202958e-08,1.202918e-08,1.323471e-07,1.835027e-07,-1.071692e-07,-1.071694e-07,3.641616e-07,3.641589e-07,-1.071694e-07,-1.071695e-07,1.835022e-07,0.00039998,0.00139998,0.00139998,0.00039998,1,2.375436e-07,5.665127e-07,5.665138e-07,1.610653e-07,5.66513e-07,1.96647e-06,1.966473e-06,5.665134e-07,5.665147e-07,1.966472e-06,1.966479e-06,5.665133e-07,1.610655e-07,5.665137e-07,5.665137e-07,2.375434e-07,10000,10000,1e-05,1e-05,1,0,1e-08,FALSE
1.048983e-08,9.792374e-10,9.791242e-10,9.929703e-08,1.993124e-08,-1.295499e-08,-1.295499e-08,3.046744e-08,4.35284e-07,-1.010572e-07,-1.010571e-07,1.282738e-07,4.322006e-05,0.001205385,0.001205385,0.0003675502,1,1.166828e-08,5.223277e-08,5.223268e-08,1.595907e-08,5.223273e-08,1.455089e-06,1.455094e-06,4.47216e-07,5.223293e-08,1.455087e-06,1.455089e-06,4.472175e-07,1.595902e-08,4.472173e-07,4.472169e-07,1.892402e-07,1000,10000,1e-05,1e-05,1,0,1e-08,FALSE
2.724196e-07,1.057987e-09,1.058218e-09,2.222003e-08,4.142993e-07,-3.708255e-07,-3.708259e-07,1.462802e-06,3.623307e-09,5.732718e-10,5.732355e-10,1.777602e-08,0.0005333056,0.0022,0.0022,2e-04,1,4.570886e-07,1.173395e-06,1.173395e-06,1.067274e-07,1.173396e-06,4.840752e-06,4.840756e-06,4.408025e-07,1.173396e-06,4.84075e-06,4.840767e-06,4.408046e-07,1.067276e-07,4.408038e-07,4.408034e-07,4.888401e-08,10000,10000,0,1e-05,1,0,1e-08,TRUE
3.167898e-08,1.999851e-10,1.999367e-10,2.221988e-08,6.13748e-08,-5.592156e-08,-5.592157e-08,1.588329e-07,6.768349e-09,5.73169e-10,5.733299e-10,1.777589e-08,6.270319e-05,0.0022,0.0022,2e-04,1,3.41046e-08,1.379626e-07,1.379623e-07,1.255354e-08,1.379622e-07,4.840757e-06,4.840756e-06,4.408052e-07,1.379623e-07,4.840757e-06,4.840782e-06,4.408041e-07,1.255345e-08,4.408023e-07,4.408043e-07,4.888389e-08,1000,10000,0,1e-05,1,0,1e-08,FALSE
1.323314e-07,1.202661e-08,1.202709e-08,1.323315e-07,1.834858e-07,-1.071679e-07,-1.071677e-07,3.64121e-07,3.641208e-07,-1.071674e-07,-1.071683e-07,1.834861e-07,0.00039998,0.00139998,0.00139998,0.00039998,1,2.375365e-07,5.665135e-07,5.665132e-07,1.610651e-07,5.66512e-07,1.966472e-06,1.966471e-06,5.665125e-07,5.66513e-07,1.966476e-06,1.966473e-06,5.665124e-07,1.610655e-07,5.665136e-07,5.665133e-07,2.375366e-07,10000,10000,1e-05,1e-05,2,1e-08,1e-08,FALSE
1.048961e-08,9.78952e-10,9.791736e-10,9.928598e-08,1.993094e-08,-1.295494e-08,-1.295496e-08,3.046684e-08,4.352472e-07,-1.010557e-07,-1.010554e-07,1.282629e-07,4.322006e-05,0.001205385,0.001205385,0.0003675502,1,1.166813e-08,5.22326e-08,5.22328e-08,1.595906e-08,5.223291e-08,1.45509e-06,1.45509e-06,4.472191e-07,5.223277e-08,1.45509e-06,1.455089e-06,4.472157e-07,1.595902e-08,4.472162e-07,4.472154e-07,1.892356e-07,1000,10000,1e-05,1e-05,2,1e-08,1e-08,TRUE
2.723886e-07,1.05734e-09,1.057332e-09,2.221596e-08,4.142677e-07,-3.708197e-07,-3.708195e-07,1.462665e-06,3.620424e-09,5.733605e-10,5.728678e-10,1.777227e-08,0.0005333056,0.0022,0.0022,2e-04,1,4.570756e-07,1.173395e-06,1.173398e-06,1.067272e-07,1.173395e-06,4.840764e-06,4.84077e-06,4.408022e-07,1.173396e-06,4.840764e-06,4.840768e-06,4.408051e-07,1.067276e-07,4.408059e-07,4.408046e-07,4.88815e-08,10000,10000,0,1e-05,2,1e-08,1e-08,FALSE
3.167855e-08,1.999418e-10,1.999242e-10,2.221718e-08,6.137437e-08,-5.59215e-08,-5.592153e-08,1.588308e-07,6.766837e-09,5.728705e-10,5.734296e-10,1.777338e-08,6.270319e-05,0.0022,0.0022,2e-04,1,3.410439e-08,1.379624e-07,1.379625e-07,1.255349e-08,1.379625e-07,4.840777e-06,4.840775e-06,4.408046e-07,1.379625e-07,4.840765e-06,4.84077e-06,4.408048e-07,1.255349e-08,4.408049e-07,4.408023e-07,4.888269e-08,1000,10000,0,1e-05,2,1e-08,1e-08,FALSE
1.323314e-07,1.202661e-08,1.202709e-08,1.323315e-07,1.834858e-07,-1.071679e-07,-1.071677e-07,3.64121e-07,3.641208e-07,-1.071674e-07,-1.071683e-07,1.834861e-07,0.00039998,0.00139998,0.00139998,0.00039998,1,2.375365e-07,5.665135e-07,5.665132e-07,1.610651e-07,5.66512e-07,1.966472e-06,1.966471e-06,5.665125e-07,5.66513e-07,1.966476e-06,1.966473e-06,5.665124e-07,1.610655e-07,5.665136e-07,5.665133e-07,2.375366e-07,10000,10000,1e-05,1e-05,1,1e-08,1e-08,FALSE
1.048961e-08,9.78952e-10,9.791736e-10,9.928598e-08,1.993094e-08,-1.295494e-08,-1.295496e-08,3.046684e-08,4.352472e-07,-1.010557e-07,-1.010554e-07,1.282629e-07,4.322006e-05,0.001205385,0.001205385,0.0003675502,1,1.166813e-08,5.22326e-08,5.22328e-08,1.595906e-08,5.223291e-08,1.45509e-06,1.45509e-06,4.472191e-07,5.223277e-08,1.45509e-06,1.455089e-06,4.472157e-07,1.595902e-08,4.472162e-07,4.472154e-07,1.892356e-07,1000,10000,1e-05,1e-05,1,1e-08,1e-08,FALSE
2.723886e-07,1.05734e-09,1.057332e-09,2.221596e-08,4.142677e-07,-3.708197e-07,-3.708195e-07,1.462665e-06,3.620424e-09,5.733605e-10,5.728678e-10,1.777227e-08,0.0005333056,0.0022,0.0022,2e-04,1,4.570756e-07,1.173395e-06,1.173398e-06,1.067272e-07,1.173395e-06,4.840764e-06,4.84077e-06,4.408022e-07,1.173396e-06,4.840764e-06,4.840768e-06,4.408051e-07,1.067276e-07,4.408059e-07,4.408046e-07,4.88815e-08,10000,10000,0,1e-05,1,1e-08,1e-08,FALSE
3.167855e-08,1.999418e-10,1.999242e-10,2.221718e-08,6.137437e-08,-5.59215e-08,-5.592153e-08,1.588308e-07,6.766837e-09,5.728705e-10,5.734296e-10,1.777338e-08,6.270319e-05,0.0022,0.0022,2e-04,1,3.410439e-08,1.379624e-07,1.379625e-07,1.255349e-08,1.379625e-07,4.840777e-06,4.840775e-06,4.408046e-07,1.379625e-07,4.840765e-06,4.84077e-06,4.408048e-07,1.255349e-08,4.408049e-07,4.408023e-07,4.888269e-08,1000,10000,0,1e-05,1,1e-08,1e-08,FALSE
