DD_0_0,DD_0_1,DD_1_1,Dz_0_0_0,Dz_0_0_1,Dz_0_1_1,Dz_1_0_0,Dz_1_0_1,Dz_1_1_1,pi2_0_0_0_0,pi2_0_0_0_1,pi2_0_0_1_1,pi2_0_1_0_1,pi2_0_1_1_1,pi2_1_1_1_1,H_0_0,H_0_1,H_1_1
2.2222222222222225e-06,4.074074074074073e-07,6.4894532627866e-05,1.777777777777778e-06,1.1111111111111114e-07,1.4814814814814815e-07,0.0003304592592592592,0.00011178271604938268,6.895520282186952e-05,4.888888888888889e-06,2.419444444444445e-05,2.7251851851851855e-05,0.00016494074074074075,0.00018316543209876543,0.00020782786596119931,0.004,0.024,0.027200000000000002
0.00022222222222222226,0.00013629629629629633,0.0003262363315696649,0.0001777777777777778,7.111111111111113e-05,0.00016592592592592597,0.0007703703703703708,0.0002141234567901235,0.0002523880070546737,0.0004888888888888891,0.000671111111111111,0.0006074074074074076,0.0010296296296296295,0.0009429135802469135,0.000891569664902998,0.04,0.06,0.056
5.458211079686738e-05,4.180714512248587e-05,0.00014582616799776847,8.352349701609315e-05,1.5659380300724496e-05,3.7999573077109916e-05,0.0005428911655283402,0.00015382345274995464,0.00012713266897584845,7.631239069508624e-05,0.00013143899616268538,0.00012670603356496616,0.0003547670452261523,0.0003516646632709038,0.0003640449975143078,0.0125,0.03375,0.035
0.0009863067587361392,0.0008021627955639276,0.0009863067587361394,0.0008281062983887857,0.0005373341703285217,0.001114311780707264,0.0011143117807072632,0.0005373341703285212,0.0008281062983887862,0.0019996400920694723,0.002196036827788242,0.001916829462230594,0.002490681314082446,0.0021960368277882418,0.0019996400920694723,0.08,0.09000000000000001,0.08
2.2222222364876588e-08,4.759767915692207e-10,3.141577200378896e-05,1.7777777919427388e-08,1.177336290501748e-10,1.8759630588970302e-10,0.00014253624589053872,-2.2300378727450825e-05,3.701358258806954e-05,4.888888903656691e-08,2.2630614662969335e-06,9.950929074176931e-07,0.00020632375052591316,6.986619808596286e-05,4.2729355187719775e-05,0.0004000000000499903,0.022628071807475492,0.00995040799651633
3.3054804864820814e-05,8.164589451928798e-06,0.00014620448771698823,3.1974440070063326e-05,2.74859446187778e-06,5.709190026492407e-05,0.0006098462545810698,-0.00011224224687433955,0.0001861251042764998,3.8817177724350906e-05,0.00010166562314001544,3.684673044836878e-05,0.001008558306995205,0.000302614965604737,0.0001805171138900927,0.0069549983864293455,0.05055512554148014,0.01928994811313773
5.005654820088756e-06,2.82875605437057e-06,5.3837307964751865e-05,9.483436051005491e-06,-5.1928826586506656e-06,1.4912366640648103e-05,0.00024485627427955334,-2.685592811379905e-05,6.36592373707275e-05,5.1836458962732506e-06,1.1738570937347792e-05,5.065082336350678e-06,0.0003070897087355133,0.00010318199210968546,6.710482610725977e-05,0.0013381905666647676,0.024470459653879013,0.011260046863054731
0.0003472823501490433,0.00014682843889183046,0.00034728235014904455,0.00045466370553197844,-0.00013061843483286984,0.001071830636750631,0.0010718306367506446,-0.00013061843483286873,0.0004546637055319763,0.00039680928988240186,0.0006113827603016741,0.00021967485921192968,0.0019419642771639832,0.0006113827603016844,0.0003968092898824035,0.024755910518552467,0.06293420442820859,0.024755910518552724
2.168279198341396e-06,3.852596651038771e-07,5.845973468547842e-05,1.7277125086385627e-06,1.0731133594028337e-07,1.3875239466032692e-07,0.0003055410780878006,0.00010169633440359283,6.155915336642455e-05,4.8638562543192815e-06,2.4188689099028293e-05,2.7250317093074215e-05,0.00016337172672617852,0.00018154795832752278,0.0002057942819986607,0.004,0.024,0.027200000000000002
0.0001780821917808217,9.768298148080858e-05,0.0002604816425857637,0.00013698630136986284,5.268703898840878e-05,0.00011566924651478265,0.0006055326549736881,0.0001574059695951983,0.00019015554592358188,0.00046849315068493095,0.0006544432736213555,0.0005962955157475707,0.0009995183924643852,0.0009184810837357545,0.0008658004215809618,0.04,0.06,0.056
4.9627612528344274e-05,3.536259034536556e-05,0.00012393209063209755,7.5945731983912e-05,1.3677868470960308e-05,3.1678912062414035e-05,0.00046902645203800977,0.00013007852962225054,0.00010579067009757754,7.260132826500549e-05,0.0001279224839476292,0.00012419876222519516,0.00034452879693053066,0.00034327163662204786,0.0003551963763073962,0.0125,0.03375,0.035
0.0006816068416981891,0.0005180582980411424,0.0006816068416981893,0.0005335757801401918,0.000319443613388204,0.0006944571873067752,0.0006944571873067762,0.00031944361338820366,0.0005335757801401914,0.0018489359155912798,0.0020444729219715753,0.0017955783375772603,0.002312876496178249,0.0020444729219715758,0.0018489359155912802,0.08,0.09000000000000001,0.08
2.2167053390715394e-08,4.730704691512965e-10,2.9840442690926714e-05,1.7726552118274893e-08,1.173166921443385e-10,1.8610455427634428e-10,0.00013590732604327975,-2.176277104772594e-05,3.523222750482026e-05,4.8863276133681586e-08,2.2630607597011426e-06,9.950928826246737e-07,0.0002015292283070145,6.870686268579224e-05,4.166832951681074e-05,0.0004000000000499903,0.022628071807475492,0.00995040799651633
2.8871320124370438e-05,6.584231919976426e-06,0.00013065866984662502,2.7798800252194074e-05,2.365058527220619e-06,4.287305355904443e-05,0.0005349351885864034,-0.00010411154030904208,0.00016648102000316577,3.518476768902806e-05,9.916192100839224e-05,3.619706365913835e-05,0.0009373734579169658,0.00028613542235864217,0.0001678872806809357,0.0069549983864293455,0.05055512554148014,0.01928994811313773
4.692079447285652e-06,2.591703931322732e-06,4.931556871312114e-05,8.894485652503959e-06,-4.876980559268723e-06,1.3823896768842291e-05,0.000223875317510454,-2.555768152918047e-05,5.83492924541379e-05,4.878050526115488e-06,1.1245049734829392e-05,4.893340033090037e-06,0.0002903205225241294,9.872430722438525e-05,6.351842688557773e-05,0.0013381905666647676,0.024470459653879013,0.011260046863054731
0.0002794748385490085,0.00011370073061500083,0.0002794748385490079,0.00036526237066121883,-0.00011360429586466617,0.0008267598284958733,0.0008267598284958683,-0.0001136042958646674,0.0003652623706612163,0.0003370842250356312,0.000533908546000795,0.00019574339271819825,0.001652310474665505,0.0005339085460007989,0.0003370842250356319,0.024755910518552467,0.06293420442820859,0.024755910518552724
